"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
0.4,0.180608556814275,0.18386235663093,0.62986543613877,0.583309164966608,88,12,23,0.88,5
0.5,0.187796190017061,0.195844453135164,0.780741616903057,0.474421979455385,63,60,3,0.51219512195122,5
0.6,0.19267782945432,0.172539439525397,0.74567860785786,0.610923246005682,104,10,25,0.912280701754386,5
0.7,0.226220188869438,0.177205256205816,0.727340072757815,0.610673106111011,86,21,23,0.803738317757009,5
0.8,0.295985716845485,0.214590043502733,0.75743074385648,0.567594050266291,63,50,31,0.557522123893805,5
0.9,0.301370357687986,0.173965510572043,0.819201981569464,0.660710171688719,90,28,16,0.76271186440678,5
1,0.37061043659208,0.188320492704839,0.982682552135836,0.558349980965401,77,76,30,0.503267973856209,5
-1,0.866701159504893,0.19734750572821,1.28486628372426,0.599753153227318,30,264,68,0.102040816326531,6
-0.9,1.03690138770216,0.190241577256517,1.32026921953406,0.65448499295348,35,314,71,0.100286532951289,6
-0.8,0.80386698275924,0.189995707046311,1.2428119263018,0.601097153668072,35,260,54,0.11864406779661,6
-0.7,0.720874947805323,0.194763868783004,1.01987501644659,0.54384645555958,34,160,55,0.175257731958763,6
-0.6,0.617150113918252,0.182590039616246,0.912814778695354,0.634890360739214,31,152,73,0.169398907103825,6
-0.5,0.609952306702253,0.214900263024418,0.89189566879282,0.578704350584055,58,132,39,0.305263157894737,6
-0.4,0.601179917173711,0.189359870377561,0.883073548709046,0.612900430663175,67,119,47,0.360215053763441,6
-0.3,0.413917884613671,0.189164897413833,0.79203113251767,0.652753917445688,57,90,55,0.387755102040816,6
-0.2,0.350103973493309,0.191472286140789,0.606811254773555,0.601962114215108,58,46,41,0.557692307692308,6
-0.1,0.340101356048296,0.233871637655904,0.775976619299497,0.533772753951915,73,88,3,0.453416149068323,6
0,0.325690610631452,0.199199025974329,0.655395217652295,0.603226127212495,91,32,22,0.739837398373984,6
0.1,0.248191662023959,0.194336533077361,0.666374316842539,0.509432427148769,81,42,4,0.658536585365854,6
0.2,0.205249482748217,0.208177787591001,0.626490228242158,0.489097804012611,98,22,1,0.816666666666667,6
0.3,0.191820208828787,0.198998662046612,0.5863344345092,0.56488454795494,86,18,1,0.826923076923077,6
0.4,0.168970568810796,0.178542340081842,0.625788790129709,0.667588334767085,96,2,16,0.979591836734694,6
0.5,0.175968740852228,0.159248510520061,0.633154671145136,0.53861508714954,100,13,20,0.884955752212389,6
0.6,0.248696438828791,0.214752364286157,0.689238942885894,0.596101466391152,80,19,7,0.808080808080808,6
0.7,0.240704744363297,0.180074930387582,0.760602479176775,0.669834563159385,98,28,18,0.777777777777778,6
0.8,0.230694497680246,0.186456377838957,0.84422699525843,0.534842362182232,76,57,5,0.571428571428571,6
0.9,0.389830165038607,0.203197911213658,0.959549248082611,0.599830410453411,75,82,29,0.477707006369427,6
1,0.409743252382229,0.212488641662877,1.05180290885471,0.540792177072265,62,100,37,0.382716049382716,6
-1,1.07728302551522,0.154577239766979,1.52604285176844,0.61937952916914,51,336,78,0.131782945736434,7
-0.9,0.853740810810652,0.187068441687035,1.24117701517148,0.564948892837098,47,226,61,0.172161172161172,7
-0.8,1.064523889326,0.168964571340556,1.56161897303836,0.610754921685747,28,380,73,0.0686274509803922,7
-0.7,0.645368106405947,0.208389984012498,0.951267604622785,0.464959311009777,37,134,43,0.216374269005848,7
-0.6,0.605703627878289,0.168167629685421,0.901467685145786,0.691530907766276,50,104,71,0.324675324675325,7
-0.5,0.658035084994104,0.199918961416319,1.04617194525623,0.482967544011629,41,186,31,0.180616740088106,7
-0.4,0.470885557656281,0.196283455071364,0.82087088381282,0.53139106712805,77,92,24,0.455621301775148,7
-0.3,0.41760426457387,0.191704149037926,0.673256562284366,0.557769208740539,52,67,42,0.436974789915966,7
-0.2,0.250747460381877,0.176090062755047,0.635953955511706,0.605700705036602,122,14,4,0.897058823529412,7
-0.1,0.264901024558052,0.214682053371589,0.545386396844161,0.54840272585112,93,5,24,0.948979591836735,7
0,0.342393680120787,0.196193732776958,0.630877755768973,0.564546200047549,84,14,16,0.857142857142857,7
0.1,0.286104462885237,0.183749098310134,0.604711302514971,0.546305910558572,74,38,17,0.660714285714286,7
0.2,0.243790523941007,0.197727062775905,0.590992240297909,0.597648695462239,82,8,9,0.911111111111111,7
0.3,0.234640177556477,0.18278763954184,0.593423504273814,0.665750551409169,84,2,31,0.976744186046512,7
0.4,0.196690286376049,0.188221692181063,0.525912512699797,0.688112019178699,78,0,51,1,7
0.5,0.203686078933826,0.173875772811527,0.7203555557005,0.65821473924387,97,10,35,0.906542056074766,7
0.6,0.19927964049862,0.19300953752635,0.685404441626914,0.530104322866933,71,30,15,0.702970297029703,7
0.7,0.238365080066373,0.197925168074079,0.694554364555997,0.622685072323817,88,19,19,0.822429906542056,7
0.8,0.256837215433455,0.226155803714887,0.702220445473304,0.680525719220517,81,36,45,0.692307692307692,7
0.9,0.279054998999848,0.198804797960394,0.8161462015206,0.582988651220721,78,53,30,0.595419847328244,7
1,0.413473439740589,0.160356794995177,1.15251542330276,0.482465799238499,90,85,34,0.514285714285714,7
-1,1.15879903809849,0.17486219075915,1.68687986793368,0.709816966543311,46,429,82,0.0968421052631579,8
-0.9,1.03503427306231,0.179287137780546,1.42589150121629,0.516140001425017,34,331,79,0.0931506849315069,8
-0.8,0.702927186272159,0.193465989762027,0.965177672427776,0.682812748983139,33,158,77,0.172774869109948,8
-0.7,0.780185378360229,0.191539857290146,1.27623873735533,0.625322444155646,24,272,76,0.0810810810810811,8
-0.6,0.641188013577588,0.204159426701975,1.07580620797159,0.522990316807252,72,149,26,0.32579185520362,8
-0.5,0.640108087818109,0.190809192987018,1.09133527074463,0.604803968764249,37,196,55,0.158798283261803,8
-0.4,0.551756009438515,0.178263205274833,1.00307476920833,0.57947553026962,58,163,51,0.262443438914027,8
-0.3,0.379653979984859,0.183178644934848,0.702362537132532,0.594405741462374,82,45,29,0.645669291338583,8
-0.2,0.351723599924808,0.193274495435784,0.762650050497684,0.608195608373953,94,55,21,0.630872483221476,8
-0.1,0.291633811230044,0.200441026975313,0.625590390443454,0.587350275263017,79,45,28,0.637096774193548,8
0,0.307788937894263,0.189998582952405,0.669715020778732,0.62436669374788,78,36,17,0.68421052631579,8
0.1,0.254395509200267,0.199801573891496,0.523401099314197,0.504682619459226,82,6,23,0.931818181818182,8
0.2,0.196853220492633,0.205518254427152,0.501320857620585,0.573749090416685,70,5,19,0.933333333333333,8
0.3,0.20390205510178,0.202019331861198,0.6848356911623,0.628949647739785,104,13,4,0.888888888888889,8
0.4,0.194812629173999,0.182349087988352,0.61584297975501,0.561776996867906,89,7,16,0.927083333333333,8
0.5,0.169993750531839,0.16367932345119,0.558543982890154,0.663752956677127,91,0,44,1,8
0.6,0.250837377819232,0.192020155966386,0.822336238258847,0.584381168527182,85,50,22,0.62962962962963,8
0.7,0.189647734551583,0.19070592559201,0.7427375161856,0.662996450538754,90,29,32,0.756302521008403,8
0.8,0.285796748290093,0.17821912363937,0.865677262620504,0.565199325411092,75,74,14,0.503355704697987,8
0.9,0.251334024345592,0.162206377335744,0.822234404481031,0.72291393734298,106,20,24,0.841269841269841,8
1,0.355497120501903,0.20387783747813,0.93332386479178,0.576957938432156,77,61,31,0.557971014492754,8
-1,1.24862177360326,0.207717718065225,1.67867941327621,0.615184500122967,18,496,65,0.0350194552529183,9
