"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
1,0.447734827538481,0.114340849061945,1.60663202530912,1.02717535311435,135,111,70,1.34074074074074,3
-1,1.73466399362331,0.11485283821809,2.51848657152264,1.02683382670233,109,660,91,6.88990825688073,4
-0.9,1.54772932081959,0.111107861986095,2.305732190448,1.03569501398238,119,562,86,5.4453781512605,4
-0.8,1.35269908861013,0.118100876270876,2.1146605386689,1.03009620102442,122,464,84,4.49180327868852,4
-0.7,1.15946655771735,0.114435554231032,1.90663343238743,1.03247336447782,131,357,74,3.29007633587786,4
-0.6,0.993583550846882,0.116466631791702,1.73869108784087,1.03690274341115,132,292,68,2.72727272727273,4
-0.5,0.837442138747679,0.112157896073838,1.57265499722293,1.03889005133598,144,232,60,2.02777777777778,4
-0.4,0.700579769288514,0.118795644142772,1.4551225695236,1.02758482746111,147,196,58,1.72789115646258,4
-0.3,0.561579587242922,0.118324062011257,1.32064096159626,1.03217560688386,151,151,52,1.34437086092715,4
-0.2,0.435570096417362,0.122461525308489,1.22762281207939,1.04820879679636,154,116,52,1.09090909090909,4
-0.1,0.345742464351091,0.11610960484769,1.14849537790751,1.03642998440148,165,79,38,0.709090909090909,4
0,0.259101822407096,0.118495308256979,1.07955517788789,1.04093722725663,163,69,35,0.638036809815951,4
0.1,0.189663087263553,0.106866166195673,1.03152322289185,1.0317310886184,179,35,26,0.340782122905028,4
0.2,0.139746533896566,0.111951830437572,1.00388434555976,1.03839279744067,187,12,13,0.133689839572193,4
0.3,0.12210263782744,0.117301085294114,1.01327307099616,1.03360857242917,195,4,7,0.0564102564102564,4
0.4,0.11021743138528,0.11174908926597,1.03296254980975,1.0383210392899,191,7,12,0.0994764397905759,4
0.5,0.110349556423034,0.11264160479895,1.06489552977557,1.03538086437163,176,16,24,0.227272727272727,4
0.6,0.152295240299396,0.121123688490411,1.14583846706317,1.04467973587275,169,33,34,0.396449704142012,4
0.7,0.199266830210894,0.116751566922332,1.231583662099,1.03111267765939,159,44,48,0.578616352201258,4
0.8,0.267946934283675,0.118128454952565,1.32380489290237,1.03353909293995,144,74,56,0.902777777777778,4
0.9,0.345504688210973,0.115127493224071,1.45497919800242,1.03198475294708,135,86,67,1.13333333333333,4
1,0.434328055416631,0.121197369340165,1.60249898377406,1.02561710313286,136,105,70,1.28676470588235,4
-1,1.76958268980531,0.114465770800588,2.54584710974779,1.03542868739657,109,670,91,6.98165137614679,5
-0.9,1.56817132011685,0.11633513116912,2.30838123883767,1.04048260116574,122,587,85,5.50819672131148,5
-0.8,1.38202505178756,0.11212033974025,2.11797686200038,1.03778908466117,123,470,81,4.47967479674797,5
-0.7,1.18728618866337,0.112607114352462,1.92571341716869,1.03720026749254,132,371,74,3.37121212121212,5
-0.6,0.992347390739898,0.116538651737095,1.73382339483946,1.03036128168068,131,289,72,2.75572519083969,5
-0.5,0.860920197029831,0.113733931025268,1.58022740227331,1.03742358925363,143,227,61,2.01398601398601,5
-0.4,0.68915791942377,0.116433897998539,1.45325770872307,1.03212092389357,148,193,54,1.66891891891892,5
-0.3,0.550857241040546,0.117187331848675,1.32732038604703,1.03388919864626,152,150,54,1.34210526315789,5
-0.2,0.440165109183056,0.117566428471789,1.22074593822426,1.02935428308585,152,124,52,1.15789473684211,5
-0.1,0.340862499060319,0.111928909225926,1.13119956697432,1.0438113946891,160,91,41,0.825,5
0,0.260160892442901,0.117029191704612,1.08417689716587,1.03520441273754,170,64,33,0.570588235294118,5
0.1,0.187673965158477,0.115748190511591,1.0359593877099,1.03296936761198,177,34,28,0.350282485875706,5
0.2,0.13416985614454,0.114333372555382,1.00914522313619,1.02469473166114,186,16,14,0.161290322580645,5
0.3,0.116874543584113,0.115584837159115,1.00592251604276,1.03572347691217,195,4,13,0.0871794871794872,5
0.4,0.107232898879285,0.121074137684802,1.02824241404495,1.02799390491534,192,8,13,0.109375,5
0.5,0.114165656953039,0.114405203725101,1.08184169258254,1.03039949789733,176,18,25,0.244318181818182,5
0.6,0.146405992046697,0.117246544014217,1.13814755861251,1.02437792199901,170,26,37,0.370588235294118,5
0.7,0.19387525939423,0.113001763916236,1.23456941118223,1.03189641711683,155,51,44,0.612903225806452,5
0.8,0.265077787482887,0.119732689603588,1.33322552929994,1.03674776678959,148,65,56,0.817567567567568,5
0.9,0.353035210152292,0.117919786913391,1.4520539888943,1.03729209501015,139,84,65,1.07194244604317,5
1,0.450852317189829,0.118378207094291,1.61017937469504,1.033497229459,131,116,69,1.41221374045802,5
-1,1.78088127094605,0.117413882848025,2.50427011491917,1.02456697902777,109,654,90,6.8256880733945,6
-0.9,1.55273943961865,0.113005454951291,2.29893814825191,1.02681185047691,120,571,83,5.45,6
-0.8,1.34384050595119,0.113610147836772,2.10506989004294,1.02523898312958,123,450,83,4.33333333333333,6
