asv	DRR095587	DRR095588	DRR095589	DRR095590	DRR095591	DRR095592	DRR095593	DRR095594	DRR095595	DRR095596	DRR095597	DRR095598	DRR095599	DRR095600	DRR095601	DRR095602	DRR095603	DRR095604	DRR095605	DRR095606	DRR095607	DRR095608	DRR095609	DRR095610	DRR095611	DRR095612	DRR095613	DRR095614	DRR095615	DRR095616	DRR095617	DRR095618	DRR095619	DRR095620	DRR095621	DRR095622	DRR095623	DRR095624	DRR095625	DRR095626	DRR095627	DRR095628	DRR095629	DRR095630	DRR095631	DRR095632	DRR095633	DRR095634	DRR095635	DRR095636	DRR095637	DRR095638	DRR095639	DRR095640	DRR095641	DRR095642	DRR095643	DRR095644	DRR095645	DRR095646	DRR095647	DRR095648	DRR095649	DRR095650	DRR095651	DRR095652	DRR095653	DRR095654	DRR095655	DRR095656	DRR095657	DRR095658	DRR095659	DRR095660	DRR095661	DRR095662	DRR095663	DRR095664	DRR095665	DRR095666	DRR095667	DRR095668	DRR095669	DRR095670	DRR095671	DRR095672	DRR095673	DRR095674	DRR095675	DRR095676	DRR095677	DRR095678	DRR095679	DRR095680	DRR095681	DRR095682	DRR095683	DRR095684	DRR095685	DRR095686	DRR095687	DRR095688	DRR095689	DRR095690	DRR095691	DRR095692	DRR095693	DRR095694	DRR095695	DRR095696	DRR095697	DRR095698	DRR095699	DRR095700	DRR095701	DRR095702	DRR095703	DRR095704	DRR095705	DRR095706
SV_21	55	24	39	19	29	0	107	133	0	322	0	0	0	0	0	0	0	0	0	11	0	52	0	0	32	0	0	0	0	0	0	90	106	98	47	0	0	0	0	0	44	0	0	0	54	0	0	0	0	31	53	0	22	76	47	21	34	48	0	0	0	0	25	0	57	41	0	49	0	0	17	50	0	0	0	0	0	0	58	0	0	45	0	173	0	0	0	23	0	0	0	37	65	0	16	90	0	0	45	0	54	40	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	97	0
SV_22	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	121	0	0	0	0	0	65	0	89	0	0	0	0	0	0	0	0	160	0	0	214	94	257	118	0	0	0	0	0	183	184	0	64	0	0	0	127	0	0	0	0	0	0	0	0	0	110	0	174	0	0	4	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	172	0	0	0	2	0	0	0	47	0	0	80	0	0	53	0
SV_23	0	0	0	0	0	0	0	91	0	0	0	0	0	0	136	0	0	280	0	0	0	0	22	0	0	0	0	0	0	175	0	0	0	0	0	0	26	0	0	51	0	0	0	0	0	39	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	18	0	0	157	192	0	0	0	345	35	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	176	40	0	0	0	0	0	0	0	0	153	72	0	0
SV_24	0	0	0	0	0	0	0	0	0	147	0	0	0	70	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	43	113	0	0	0	306	2	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	52	0	64	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	176	0	182	0	0	0	0	0	0	0	0	153	0	0	369	0	0	0	0	399	0	0	0	74	0	0	0	0	0	0	0	0	0	74	0	0	0	0
SV_25	0	0	0	48	0	0	0	0	30	0	48	0	0	139	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	73	0	0	0	106	69	0	0	85	0	0	270	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	40	0	106	16	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	57	0	148	0	0	0	0	0	0	45	102	143	0
SV_26	47	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	122	0	36	0	0	58	0	0	68	0	20	0	0	0	17	0	0	0	0	32	0	43	79	88	0	43	0	0	21	0	0	27	0	0	0	29	72	0	0	0	0	47	0	0	0	0	0	0	0	0	167	0	0	30	0	0	0	0	0	21	0	194	0	139	0	406	0	0	0	0	49	0	0	0	0	169	0	0	0	76	0	0	41	0
SV_27	0	113	31	18	0	175	0	0	106	36	0	0	234	0	0	0	0	0	42	0	0	0	16	0	0	77	42	0	0	108	0	8	38	0	0	0	0	0	0	0	114	0	0	52	0	0	0	0	0	0	46	14	0	0	0	0	0	130	13	0	0	66	23	0	0	0	0	86	0	0	17	43	0	0	0	0	0	0	40	0	0	0	0	47	11	6	0	0	101	163	62	0	0	38	0	0	0	40	0	0	0	19	0	0	14	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0
SV_28	0	107	0	0	0	0	69	0	21	56	0	0	0	70	0	0	0	0	0	68	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	164	0	0	0	97	0	0	48	0	0	0	0	134	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	103	0	76	0	0	0	158	0	0	0	54	0	0	0	0	0	0	0	65	0	0	0	0	0	391	0	0	129	0	41	0	0	0
SV_29	0	46	0	0	0	0	37	0	0	0	0	39	0	77	0	0	0	88	110	0	0	0	0	0	107	0	0	0	0	0	28	0	0	0	0	55	0	0	212	0	0	0	0	0	0	27	0	0	21	0	0	0	0	185	25	79	0	0	70	0	41	0	49	0	66	0	0	0	0	0	0	66	0	0	0	0	0	0	29	233	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	104	0	0	0	0
SV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	75	118	0	0	0	184	0	8	0	0	0	90	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	26	0	0	0	0	0	0	0	16	0	0	0	0	0	0	154	0	0	101	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	80	0	0	15	0	200	155	0	0	0	0	0	0	0	0	0	0	0	181	0
