"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
-1,1.79189703728165,0.119122400776551,2.52480191196508,1.02937233636611,112,661,90,6.70535714285714,7
-0.9,1.56860159062775,0.113912057952369,2.31734712387999,1.03084722464599,118,573,82,5.55084745762712,7
-0.8,1.36370101813403,0.121700793502613,2.10026494406427,1.04203375430649,124,473,82,4.4758064516129,7
-0.7,1.15548239826542,0.117321778629459,1.91681618788992,1.03704064380997,129,356,76,3.34883720930233,7
-0.6,0.988886591219966,0.115274405013507,1.75446145091154,1.03112623763137,130,296,73,2.83846153846154,7
-0.5,0.81333708739459,0.114941706058167,1.57584737036838,1.03353518541581,144,233,64,2.0625,7
-0.4,0.677689514055081,0.114940173331155,1.4567492483322,1.03755576672874,151,185,53,1.57615894039735,7
-0.3,0.549183867374311,0.119033136639681,1.32571503491595,1.030503492656,149,152,51,1.36241610738255,7
-0.2,0.451809944749157,0.114533152525759,1.23578394911419,1.02908452382703,155,114,50,1.05806451612903,7
-0.1,0.333368493257544,0.11465615126828,1.13840793831622,1.03327012134869,163,86,39,0.766871165644172,7
0,0.255099126249402,0.112933934181909,1.07775531668168,1.02840747798417,170,60,35,0.558823529411765,7
0.1,0.192520225242335,0.118350533109941,1.0290647331164,1.03276194126052,180,35,22,0.316666666666667,7
0.2,0.138529060223911,0.120560564759779,1.01599928456745,1.03129712614329,191,12,13,0.130890052356021,7
0.3,0.113945532831991,0.117725517444403,1.00665708402684,1.03644562729946,198,2,11,0.0656565656565657,7
0.4,0.109067069656312,0.11626354255243,1.03858794747789,1.02899802083848,192,9,14,0.119791666666667,7
0.5,0.118976857105025,0.116732841619959,1.07771566624029,1.02688536035158,177,20,27,0.265536723163842,7
0.6,0.146162263503004,0.123056600598495,1.13295135833308,1.03709317174783,166,34,34,0.409638554216867,7
0.7,0.200458527586771,0.112147519440245,1.24038473489483,1.02726901827255,160,42,48,0.5625,7
