"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
0.4,"cent vs mage",0.947569027140736,0.351674852388733,0.562912084380208,-0.116350013285157,0.137528908544632,0.244300950870998,0.449324320714042,0.570636611928593,131,36,27,923
0.4,"eld vs kin",0.921861613504274,0.461584412948944,1.13330293411255,0.0717827428903871,0.190159534433856,0.135101710778644,0.517749411508868,0.448038347051803,143,44,24,906
0.5,"cent vs mage",0.866826104383271,0.622637950153364,1.22148148400151,-0.0904150767621264,0.1545450497275,0.260738802062092,0.431610209891001,0.580673275216621,104,49,55,909
0.5,"eld vs kin",0.910545620627059,0.645177470945106,1.27927573693085,0.159281636382754,0.284810820307747,0.138755400902527,0.650033184271668,0.434644653160358,139,39,56,883
0.6,"cent vs mage",0.786043070456997,0.835620051612266,1.50967501910411,-0.0771376333150338,0.194089415572325,0.297034055861577,0.480660856059091,0.617816915518504,90,82,71,874
0.6,"eld vs kin",0.861109358165968,0.90570446539489,1.67015135749638,0.247432351428909,0.379313196655518,0.142598344179788,0.768635562083709,0.452293690807118,121,70,78,848
0.7,"cent vs mage",0.82039484908315,0.75407658013895,1.21695490957078,0.015688735037987,0.254081863436085,0.274908373578245,0.535807032997793,0.596224480084004,86,88,71,872
0.7,"eld vs kin",0.90113905392601,0.77647185958673,1.41732565177899,0.305650211452243,0.407893272627099,0.129240350485054,0.802895259544769,0.440056868750298,126,54,73,864
0.8,"cent vs mage",0.73015533536485,0.855550284116295,1.6424526799848,-0.0121061698830801,0.224479263495613,0.258381898374989,0.518111161511066,0.580683725039047,86,95,71,865
0.8,"eld vs kin",0.884749630340455,0.929239283945045,1.65983720512368,0.323849955238828,0.435904097532455,0.125013416800379,0.82210635738256,0.434226040573879,130,58,96,833
0.9,"cent vs mage",0.751938845434723,1.02551003272486,1.91170521789099,0.0535845328295886,0.286777197931816,0.264590875083511,0.590402098394323,0.575215307427091,88,96,96,837
0.9,"eld vs kin",0.892372762931414,1.10279044207443,1.82355835602469,0.490127728711424,0.601546165424316,0.137931682795815,1.0021679658741,0.437697812261815,114,56,119,828
1,"cent vs mage",0.62567553103142,1.12506802490501,2.09476641147799,0.104556297874506,0.349954232790638,0.297067835567795,0.683138193253953,0.616642708680518,75,111,104,827
1,"eld vs kin",0.870329257602098,1.05565266909379,1.71643173150729,0.539118515960278,0.632054533506895,0.119488649282342,1.08166219264265,0.443632786160359,112,72,113,820
