"constant","median_log_const","median_log_std","mean_log_const","mean_log_std","n_both","n_const_only","n_std_only","robustness","replicate"
0.3,0.115000588019522,0.115461467916921,1.00595997624968,1.03856557135349,195,6,10,0.970149253731343,8
0.4,0.107358359643916,0.113551369176798,1.0281869593475,1.03492760706485,191,9,9,0.955,8
0.5,0.120131372078129,0.116373060901787,1.07413409929487,1.02847270846637,182,16,20,0.919191919191919,8
0.6,0.146651426464285,0.112209954910364,1.14041345697623,1.03332383291521,169,29,35,0.853535353535353,8
0.7,0.192903678316378,0.107801780116162,1.23765616540041,1.04324565703223,161,44,46,0.785365853658537,8
0.8,0.266268642546006,0.113174581554507,1.3374997402587,1.03252096026448,151,65,53,0.699074074074074,8
0.9,0.352334625993763,0.111337920200538,1.45334540499478,1.03863035045025,140,90,65,0.608695652173913,8
1,0.451801491644993,0.112475824898013,1.58191948204055,1.04449497342401,132,113,72,0.538775510204082,8
-1,1.79272587002969,0.114169044064522,2.52903105123803,1.03288080974887,109,661,94,0.141558441558442,9
-0.9,1.55247303015596,0.116031901755034,2.29415979954733,1.03014513802567,118,571,86,0.171262699564586,9
-0.8,1.37165369798115,0.113898850987723,2.10286692432337,1.0366167199912,125,462,77,0.212947189097104,9
-0.7,1.17916738331622,0.114732421913696,1.91644889505009,1.03698628802696,129,373,76,0.256972111553785,9
-0.6,0.990367623827296,0.116128827820293,1.73382678847843,1.01839425887358,132,291,74,0.312056737588652,9
-0.5,0.821595225776108,0.119304145669283,1.57454891215206,1.04286228460983,143,230,62,0.383378016085791,9
-0.4,0.679820904758214,0.112187432971482,1.45724972943288,1.03054599403243,150,199,56,0.429799426934097,9
-0.3,0.548423753158214,0.121680789195074,1.32779988016584,1.03381007618186,152,146,50,0.51006711409396,9
-0.2,0.443895191544291,0.110165843226096,1.22933209992566,1.03365462906413,154,118,48,0.566176470588235,9
-0.1,0.331677787642775,0.116545008844171,1.12840262556498,1.03804010523898,163,86,39,0.654618473895582,9
0,0.255287879831293,0.116310033984204,1.07248276008938,1.03937493877844,169,60,33,0.737991266375546,9
0.1,0.191081612317559,0.112736687357318,1.02510171138717,1.03966231793365,178,36,24,0.831775700934579,9
0.2,0.138136718195681,0.11184894910391,1.00710482573343,1.03881433951557,188,12,16,0.94,9
0.3,0.114805263656869,0.112339996465743,1.00748914173417,1.02842271521034,192,5,10,0.974619289340102,9
0.4,0.10440708923607,0.114948344003892,1.03281881438807,1.03850341657542,188,8,16,0.959183673469388,9
0.5,0.11205953655621,0.119673871953169,1.07367686745935,1.03674045315098,178,14,29,0.927083333333333,9
0.6,0.149207806669434,0.112825242235844,1.14103060376028,1.03775201085093,173,25,33,0.873737373737374,9
0.7,0.204774931076368,0.11129898237666,1.23210554206551,1.03866623944355,155,50,46,0.75609756097561,9
0.8,0.264537240827521,0.121240859787947,1.33423997795337,1.02404511298319,149,64,56,0.699530516431925,9
0.9,0.355989246337758,0.111662500921233,1.45694612582276,1.0285683139997,139,87,65,0.615044247787611,9
1,0.439962334611745,0.118540431665472,1.57680713890067,1.03508207590817,135,110,69,0.551020408163265,9
-1,1.7467396248264,0.123961884655044,2.52683898279829,1.03288258896419,111,653,91,0.145287958115183,10
-0.9,1.56750575924454,0.11620968332016,2.31553238425061,1.04005226513017,120,579,83,0.171673819742489,10
-0.8,1.35276301221886,0.115425444610285,2.09661828849299,1.04001351387978,121,464,81,0.206837606837607,10
-0.7,1.19653310708382,0.10990406194586,1.91827162927724,1.03293178655412,131,370,77,0.261477045908184,10
-0.6,0.995435169028884,0.11818760203555,1.73815805470122,1.03668201597659,137,291,70,0.320093457943925,10
-0.5,0.859917088637026,0.119018708238412,1.59716506817978,1.03306060763047,141,245,64,0.365284974093264,10
-0.4,0.692400191195853,0.118997834685357,1.4454096332437,1.03438125274461,149,199,55,0.42816091954023,10
-0.3,0.548913709542082,0.114090705488415,1.33754665887078,1.02314768888261,151,153,51,0.49671052631579,10
-0.2,0.449805311169313,0.116740620413691,1.22498869290184,1.04027502620117,152,124,49,0.550724637681159,10
-0.1,0.339294123986459,0.12242965233885,1.14107152906533,1.03834614798112,164,88,40,0.650793650793651,10
0,0.253007032744826,0.11716950056518,1.07017367241747,1.03449022956571,167,59,38,0.738938053097345,10
0.1,0.192285330466131,0.109567001222772,1.03082709344221,1.03015582924305,175,39,27,0.817757009345794,10
0.2,0.138606164048094,0.118500058403819,1.01147845962053,1.03059364127176,188,11,15,0.944723618090452,10
0.3,0.117042864218989,0.115430983678002,1.00403683495287,1.03878691268195,194,4,10,0.97979797979798,10
0.4,0.100175898483739,0.118125756679035,1.02432838490803,1.04006440990496,189,10,15,0.949748743718593,10
0.5,0.120788255080653,0.123090836677116,1.07485281751587,1.03747535793275,182,13,25,0.933333333333333,10
0.6,0.147329814393751,0.111793708066821,1.13946204760376,1.03124877930852,170,30,33,0.85,10
0.7,0.197692534973673,0.109802146470332,1.21496558909241,1.03904705232451,156,46,48,0.772277227722772,10
0.8,0.269674655103424,0.110951370582957,1.32195969360118,1.04404285719431,151,60,55,0.71563981042654,10
0.9,0.347873302025315,0.118165544246986,1.45500941947862,1.03623271908513,140,86,65,0.619469026548673,10
1,0.443011825199997,0.112570447544285,1.59148257297596,1.03017474531708,137,112,69,0.550200803212851,10
-1,1.7625999702696,0.114415697325069,2.5265703697606,1.03085490599851,109,660,93,0.141742522756827,11
-0.9,1.57682066594053,0.11337875919724,2.30096692156089,1.03497713215262,115,579,84,0.165706051873199,11
-0.8,1.33104932751232,0.113819117365092,2.0699616726999,1.0326661474397,126,452,77,0.217993079584775,11
-0.7,1.18483373048188,0.120577882370436,1.91295690318591,1.03951362371092,133,367,73,0.266,11
-0.6,1.00287724881699,0.120680676909086,1.75128421060721,1.03761707153631,132,299,74,0.306264501160093,11
-0.5,0.840274673617673,0.120880173147076,1.58363628072466,1.04964489694594,148,229,61,0.392572944297082,11
-0.4,0.69153706365039,0.111648974144333,1.4462617348353,1.03020271116257,148,199,53,0.426512968299712,11
-0.3,0.545776037970776,0.119391607320613,1.32026404813952,1.03953515241064,149,152,53,0.495016611295681,11
-0.2,0.433022686807701,0.116983538451451,1.21425176822362,1.03050686176349,153,118,49,0.564575645756458,11
-0.1,0.352095670663083,0.114274439363178,1.1479323958764,1.03904352483058,163,84,37,0.659919028340081,11
0,0.25918055949363,0.120447336284038,1.07542698402232,1.02814655029932,168,66,37,0.717948717948718,11
0.1,0.194208936725536,0.112614031779765,1.03250676217692,1.02708659266642,181,33,25,0.845794392523365,11
0.2,0.139941324022905,0.111625843218943,1.01190621134242,1.0352117535504,186,11,20,0.944162436548223,11
0.3,0.113496261585448,0.117313910819111,1.01098222038374,1.0268960154052,192,3,15,0.984615384615385,11
0.4,0.108800597041513,0.117558214188031,1.03111009683935,1.03078883862807,192,5,16,0.974619289340102,11
0.5,0.117000672279701,0.112443425758255,1.07572944534361,1.0307026732088,178,17,22,0.912820512820513,11
0.6,0.148236991216419,0.115669444769339,1.1507410438548,1.02912469125946,173,25,37,0.873737373737374,11
0.7,0.196203703115117,0.106384594471832,1.22497950852899,1.03256438353244,154,51,48,0.751219512195122,11
0.8,0.265612256008938,0.114569424307118,1.33601173461879,1.029828977063,155,64,52,0.707762557077626,11
0.9,0.356894083890851,0.118877820870311,1.44904352728028,1.03209768144263,137,88,68,0.608888888888889,11
1,0.438722211579713,0.115262096595388,1.59543331928191,1.03694377540983,135,112,69,0.546558704453441,11
-1,1.77250948137238,0.116844604555468,2.51380995619464,1.03333814601075,112,653,91,0.14640522875817,12
-0.9,1.58189232458653,0.115332093063276,2.2952513172852,1.03638055358124,120,573,80,0.173160173160173,12
-0.8,1.36195160162792,0.114606457587419,2.09050667456213,1.03470074308323,125,464,77,0.212224108658744,12
-0.7,1.1802373467421,0.118853628497513,1.91073817336843,1.03071819263994,126,368,79,0.255060728744939,12
-0.6,0.986208040156833,0.113238812433799,1.74555226021667,1.03329643993404,131,289,72,0.311904761904762,12
-0.5,0.848269488809633,0.119148799682831,1.59228497677536,1.03377095714239,142,231,59,0.380697050938338,12
-0.4,0.692109631880053,0.111190483606276,1.4481850564548,1.02925634602519,149,194,54,0.434402332361516,12
-0.3,0.544207545113298,0.114897713138895,1.3246885739433,1.04094023684193,148,151,56,0.494983277591973,12
-0.2,0.427364252548188,0.114321288048544,1.22528159266038,1.03476389096303,155,116,49,0.571955719557196,12
-0.1,0.35691895177119,0.116704794228478,1.14338031773039,1.03987303561538,166,83,39,0.666666666666667,12
0,0.249485003096098,0.121194610770664,1.07736699493191,1.03438131710851,170,55,35,0.755555555555556,12
