"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-0.4,"eld vs kin",0.685823754789272,179,52,30,0,856,0.241914215527518,0.102428498396617,0.100400966662308,0.59276645063695,0.429204802321024,0.45250323028245,0.939413075213058,0.94017420919555,0.996198466319544,0.569517834823898,0.554127289793772,0.115455485809688
-0.3,"cent vs mage",0.430232558139535,148,147,49,0,773,0.5363102459405,0.112305660747514,0.245746282461923,0.77289552881166,0.445649317266707,0.565782562175108,0.784953381295922,0.936482795185385,0.942240146104649,1.00591788871547,0.523753294704475,0.495492748935351
-0.3,"eld vs kin",0.703557312252964,178,43,32,0,864,0.195265283317367,0.0998577877034992,0.101707386658751,0.5481815014274,0.419012726092583,0.437611281499089,0.941859679323192,0.97955122064755,0.975481197660319,0.544878411695773,0.378809864061693,0.210155505004907
-0.2,"cent vs mage",0.471518987341772,149,114,53,0,801,0.421138708950966,0.116847004743055,0.247238296534908,0.705045591415952,0.44423082403534,0.576128039997222,0.835240246296115,0.964088451192169,0.939359566400038,0.847267354059964,0.343230319744166,0.516849493778169
-0.2,"eld vs kin",0.758196721311475,185,29,30,0,873,0.14756668811975,0.101543237049083,0.106088559693019,0.488450925452047,0.434172538675361,0.447856653401376,0.957666734129434,0.971657045751176,0.992055554606137,0.401430166835011,0.274524064338959,0.179674673684282
-0.1,"cent vs mage",0.54416961130742,154,87,41,1,834,0.342696899344468,0.126141660369696,0.249694909203313,0.650314089908903,0.44101891416487,0.57284847083201,0.900086942824186,0.981316663087226,0.953374932097146,0.634496936295525,0.217963453449928,0.434638646311917
-0.1,"eld vs kin",0.839130434782609,193,19,18,0,887,0.113563213239158,0.10549221489552,0.0974639786731536,0.456034567259394,0.438376595137017,0.443203418054683,0.991757808573214,0.993542552025143,0.994871100325713,0.204194610078475,0.172979523438027,0.11997128387884
0,"cent vs mage",0.606870229007634,159,65,27,11,855,0.249373484871666,0.131859848272507,0.262136734417001,0.573151580082857,0.456343521331982,0.583671527136224,0.948601258670009,0.99481296856905,0.946785899455109,0.452919265523717,0.0956270240306426,0.467374086460012
0,"eld vs kin",0.887892376681614,198,17,4,4,894,0.0907532249786311,0.0910795106204061,0.0977154212456051,0.432892423664945,0.425249046822269,0.451414708622381,0.996754425362,0.978829285102754,0.977674840947879,0.122568714904788,0.12200328530249,0.149609272628538
0.1,"cent vs mage",0.652173913043478,165,42,27,19,864,0.204176515594727,0.120051410577892,0.250964758815872,0.525440615541509,0.459296842477658,0.573695441850679,0.972095657271639,0.989449486195208,0.95659872792355,0.324634095383074,0.152310752856235,0.428838620403708
0.1,"eld vs kin",0.868778280542986,192,11,13,5,896,0.104445680825576,0.0983081841890297,0.0996655065759427,0.444583340519171,0.43509501472481,0.433010892709456,0.995664841270437,0.977408157637127,0.977978600562502,0.125287316300058,0.175425463487588,0.168315914283313
0.2,"cent vs mage",0.657258064516129,163,25,14,46,869,0.134918667976452,0.11863418450335,0.260677531200296,0.480410158051692,0.449795744639726,0.580052106721427,0.98997555181073,0.970307003617926,0.945360047962077,0.164798335849283,0.340523864944632,0.472346000522838
0.2,"eld vs kin",0.836206896551724,194,15,14,9,885,0.103937541507798,0.0948339770920464,0.098517612502068,0.443648438575692,0.423503690066065,0.439629998025007,0.99330249396103,0.990495776987029,0.994194436840349,0.168605305971796,0.232989542231183,0.147406892138483
0.3,"cent vs mage",0.654618473895582,163,30,11,45,868,0.120973775762346,0.114344525041655,0.226014115332282,0.463884669833346,0.455769106284919,0.553700141811003,0.993066978307248,0.969144229822459,0.961735332736834,0.118193778738793,0.354580115492037,0.413823101720647
