"constant","median_log_coeff","median_log_clr","median_log_tss","mean_log_coeff","mean_log_clr","mean_log_tss","n_all3","n_coeff_only","n_clr_only","n_tss_only","robustness","replicate"
-0.7,0.627680592785462,0.197103112503454,0.270843823314745,0.994420937012402,0.664363794544614,0.744045464268648,53,140,55,0,0.213709677419355,4
-0.6,0.602917527685381,0.266223487706584,0.326304370732061,0.976053059298715,0.628816002265758,0.681244033351647,54,141,50,0,0.220408163265306,4
-0.5,0.66924029351819,0.193512407620399,0.257011669809465,0.92298317542287,0.586371684817926,0.57744822549369,42,163,50,0,0.164705882352941,4
-0.4,0.553181748678783,0.192681314838348,0.356698564583688,0.799764113239231,0.543669471609674,0.731142388833571,42,93,57,1,0.217616580310881,4
-0.3,0.336000195841949,0.194808195142094,0.317440198336839,0.829382210933276,0.63499064432223,0.688939072398494,75,100,18,0,0.38860103626943,4
-0.2,0.350274869094054,0.182365746273106,0.319716144946692,0.739085856976688,0.636822001596763,0.714959426190404,85,65,30,10,0.447368421052632,4
-0.1,0.35043426173783,0.182373951993272,0.227262920061638,0.630838139036238,0.57024397559011,0.592716407554254,57,54,40,0,0.377483443708609,4
0,0.293881058170597,0.194404097181094,0.353260971161706,0.724415532522978,0.591425375341185,0.665508151782752,88,52,11,0,0.582781456953642,4
0.1,0.194501830051053,0.193197642010831,0.272456641696408,0.683513189255967,0.703299634815918,0.654620731787944,76,50,14,14,0.493506493506494,4
0.2,0.2494061339654,0.196218798253067,0.301154805342325,0.631492525363846,0.476175551457662,0.611398182273381,66,62,5,7,0.471428571428571,4
0.3,0.188288497141841,0.188487209426818,0.263616609884149,0.55058687779755,0.528565705107039,0.677368735045437,65,21,24,64,0.373563218390805,4
0.4,0.173656639248761,0.19954679989223,0.29425679652843,0.731809039494929,0.565627452459233,0.638814016114815,62,56,1,64,0.33879781420765,4
0.5,0.215993632279654,0.178581260786598,0.242700159605395,0.735688547146104,0.68815079013793,0.591637528936415,66,47,16,36,0.4,4
0.6,0.197446904832964,0.189121858988583,0.307956790693001,0.606781440965669,0.616190688826528,0.788097150932575,65,28,36,58,0.347593582887701,4
0.7,0.190932725045004,0.180781988542928,0.211249682209141,0.71086991708889,0.547944464363409,0.640244092109522,73,38,22,20,0.477124183006536,4
0.8,0.297729530998264,0.187180894484698,0.309976732999903,0.860014962651503,0.633026580568897,0.532404977648009,46,86,37,8,0.259887005649718,4
0.9,0.291886091985112,0.217325793942598,0.286990323317646,0.836801150733162,0.54559940118191,0.596274554166882,53,82,16,34,0.286486486486487,4
1,0.350374376555564,0.207527577802946,0.244132339972348,1.07219957272797,0.622938789077684,0.63932904282407,54,101,43,34,0.232758620689655,4
-1,0.940078705105217,0.194768918418327,0.28005163579742,1.36061148761133,0.589198326143367,0.62136479034238,25,305,67,0,0.0629722921914358,5
-0.9,0.799473187213582,0.196676444125922,0.248343343666994,1.20377917713971,0.609188227385822,0.635181778004073,30,228,70,0,0.0914634146341463,5
-0.8,0.695637189838587,0.199918144270349,0.217148179946975,1.05675312445043,0.617059162688005,0.695215204975192,64,152,51,4,0.236162361623616,5
-0.7,0.610364016545377,0.178286668830821,0.231597904569865,0.938669627859867,0.716106160875315,0.677601813987,39,138,78,0,0.152941176470588,5
-0.6,0.653476664861605,0.185589332938752,0.263530255760327,0.98325722136681,0.640276918441635,0.632867984507365,61,139,54,0,0.240157480314961,5
-0.5,0.690530234695044,0.185572661357509,0.331517217432377,0.990030810104864,0.619949483261749,0.682711978284484,53,134,58,0,0.216326530612245,5
-0.4,0.497975051324941,0.201355674575884,0.226362493758136,0.820003881125062,0.57884444113549,0.655016398615701,42,109,52,0,0.206896551724138,5
-0.3,0.409998875462521,0.199736746756063,0.276172662886925,0.69413781067416,0.560132454361341,0.678774519328951,72,47,30,6,0.464516129032258,5
-0.2,0.32209587639421,0.201588853748256,0.28268764365314,0.726662570314524,0.555409549848459,0.656855291164222,58,86,29,1,0.333333333333333,5
-0.1,0.29484675249985,0.188879287335176,0.305744475222856,0.615116637526133,0.652382123627514,0.721157281734016,79,25,29,31,0.481707317073171,5
0,0.297225178086834,0.188800498419579,0.299570216853231,0.553057037399209,0.594951939086547,0.741098947307561,76,3,36,46,0.472049689440994,5
0.1,0.226136434867559,0.165047636802498,0.193145816092911,0.610011144478112,0.628682983438307,0.607383404534771,85,24,15,6,0.653846153846154,5
0.2,0.203769996689638,0.205038567106913,0.277633187663843,0.573144029554866,0.609739553673394,0.624383302705242,97,24,4,2,0.763779527559055,5
0.3,0.222785770204093,0.185458387159325,0.285443607369452,0.508631643305388,0.461884679572468,0.732680799031037,73,1,38,44,0.467948717948718,5
0.4,0.175818762245081,0.196038396488606,0.252860609887619,0.614229669173485,0.636528365808033,0.586554501895589,83,20,11,24,0.601449275362319,5
0.5,0.180024417499299,0.184458044868724,0.198157131616885,0.676417169600078,0.654624260463326,0.571130896389698,86,27,32,2,0.585034013605442,5
0.6,0.174701278801397,0.223285780170167,0.259939619135842,0.631540934786389,0.491757048440123,0.651346095261605,67,48,0,53,0.398809523809524,5
0.7,0.217189903943027,0.193432838985701,0.216265038252715,0.745021860945096,0.565336601841045,0.608164082030272,70,46,12,52,0.388888888888889,5
0.8,0.307335977988513,0.191882521348411,0.308476443374692,0.996001598451733,0.679981043402594,0.659976556417039,60,91,15,48,0.280373831775701,5
0.9,0.350012865240886,0.205850249165768,0.314059673046679,0.913517030918653,0.639351007431286,0.512068981547382,34,99,3,27,0.208588957055215,5
1,0.463442627875332,0.220008045328396,0.295552284912466,1.17753650455197,0.536558966451831,0.596837528882278,51,119,43,2,0.237209302325581,5
-1,1.28772886900869,0.176798729048206,0.233886501950812,1.88021687682382,0.65804560116661,0.593979026234952,48,496,63,0,0.0790774299835255,6
-0.9,1.34461276386087,0.182561447406965,0.274288804518886,1.89621547759795,0.516529457356888,0.574478651045786,35,560,67,0,0.0528700906344411,6
-0.8,0.751985157922885,0.198759382050762,0.293893002558997,1.15195712114647,0.634502669699955,0.569436771032396,55,183,61,0,0.183946488294314,6
-0.7,0.758671662914799,0.200524893924873,0.240895769551023,1.03752398884912,0.586293966684915,0.701654916735653,43,197,57,0,0.144781144781145,6
-0.6,0.610552677614777,0.190514991516979,0.303618681037938,0.959800688190886,0.717740005236271,0.667345144615848,72,107,58,0,0.30379746835443,6
-0.5,0.607451975993851,0.220712194465055,0.216742982477632,1.12843852254321,0.553309700346895,0.592320625386915,61,195,26,0,0.216312056737589,6
-0.4,0.548930318356758,0.187902462999836,0.315599954775328,0.954510397461038,0.667433789803793,0.642996372982196,55,142,64,0,0.210727969348659,6
-0.3,0.44196672355636,0.192593067897077,0.259326104894617,0.850371779324562,0.612764316935377,0.643166595467279,87,89,24,1,0.432835820895522,6
-0.2,0.39259288288493,0.202917684539701,0.278600839889049,0.795273739718013,0.575955672498332,0.654583073255798,69,93,31,0,0.357512953367876,6
-0.1,0.288654696889712,0.199633682769195,0.228621938593271,0.71969534241962,0.626767916108208,0.655880970010623,71,79,24,0,0.408045977011494,6
0,0.271457555104772,0.215380385041464,0.268310549368897,0.581556741838606,0.466559561378879,0.641543404261881,63,65,0,5,0.473684210526316,6
0.1,0.207682500439627,0.198626159277095,0.244662642913226,0.610855597396391,0.531330013099736,0.580835721934277,58,57,3,10,0.453125,6
0.2,0.191494872324793,0.186912554133193,0.313633244012283,0.438552614757283,0.651854388925954,0.676359522953462,54,26,24,71,0.308571428571429,6
0.3,0.173021740621467,0.17600828346588,0.279333434836887,0.47744788713595,0.624276641812575,0.560151321717912,81,6,25,3,0.704347826086957,6
0.4,0.185575259901068,0.176734171545051,0.392937746858237,0.697967838309598,0.603047586189055,0.704587858734243,64,51,9,54,0.359550561797753,6
0.5,0.169802476362142,0.21538907612726,0.348291447260284,0.728343262454304,0.481960366375667,0.735778993732476,77,43,6,65,0.403141361256544,6
0.6,0.190743236478364,0.170111581500501,0.278688482173877,0.628402948336207,0.713941029592899,0.570019875457068,64,38,41,9,0.421052631578947,6
0.7,0.251633642091514,0.192587564345118,0.263303111593297,0.747324683738437,0.576864358194544,0.659253429128689,67,41,27,31,0.403614457831325,6
0.8,0.232169624043078,0.165310629249007,0.267073024897717,0.923939053109185,0.763643465695725,0.609069784052551,66,80,22,24,0.34375,6
0.9,0.327843932660623,0.175088756021266,0.299352191640497,0.949263835415948,0.707023299784654,0.703505275051108,63,86,24,50,0.282511210762332,6
1,0.389901875447911,0.190855922246288,0.24381429406949,1.11502185209181,0.656730791026371,0.594664894592915,71,101,46,1,0.324200913242009,6
-1,1.19461824704843,0.195212423751361,0.266603521837495,1.7490617405637,0.602638885047888,0.637278746942957,34,459,70,0,0.0603907637655417,7
-0.9,0.949910313082328,0.190796847648873,0.276888157061815,1.41983340701304,0.657296336987946,0.606994396048711,20,333,74,0,0.0468384074941452,7
-0.8,0.77499301768315,0.190656022786687,0.251526857581176,1.23276713450073,0.554713320699232,0.658209707929117,39,243,45,7,0.116766467065868,7
-0.7,0.605699353639882,0.220836368873761,0.272385875566884,0.939965912613613,0.489644354876258,0.621064467833009,39,157,43,0,0.163179916317992,7
