"constant","comparison","pval_cor","pval_mae","pval_rmse","pval_median_diff","median_log_clr","median_log_tss","median_es_clr","median_es_tss","n_both","n_tss_only","n_clr_only","n_neither"
0.1,"eld vs kin",0.981364688783341,0.138458059171622,0.636530960805375,0.000720719569090623,0.0962047481412976,0.100072177964112,0.427857364406811,0.4368403756435,200,9,11,897
0.2,"cent vs mage",0.987596130344102,0.195289048163102,0.378675207798895,-0.0182986706010248,0.120528123012723,0.144256297923387,0.449631492780938,0.466544835447241,182,13,18,904
0.2,"eld vs kin",0.995039912366103,0.15566946994998,0.324738326480024,-0.00575313180898841,0.10591950882139,0.110003125525259,0.436878842196072,0.441181412160924,200,6,14,897
0.3,"cent vs mage",0.995178733489845,0.110851616002294,0.253637515621534,0.0047457700585932,0.129390933242902,0.124094571463718,0.460808387436815,0.470975821573596,191,3,6,917
0.3,"eld vs kin",0.967557675152848,0.339952628228476,0.823583061943609,-0.054836831779262,0.0979364775571459,0.154281463788584,0.42901587627823,0.496592371562351,188,19,29,881
0.4,"cent vs mage",0.989939801034874,0.164760441007405,0.356646233721184,0.00773284804281622,0.133147442676016,0.116141465346141,0.464329985467337,0.435323647391875,179,12,16,910
0.4,"eld vs kin",0.975446536785124,0.463366346854732,0.791193594734228,-0.109764126862503,0.0966584653170069,0.201333038281464,0.43993020163857,0.555619247420117,177,35,35,870
0.5,"cent vs mage",0.98012878101567,0.23286914976841,0.527440892709187,-0.00734104421074871,0.126876426483138,0.125373945475937,0.463950775147029,0.433416690169252,171,18,18,910
0.5,"eld vs kin",0.969925667629705,0.539281727381125,0.870398141538202,-0.158331277118556,0.0983628863393902,0.266296197604162,0.437404456471108,0.63500787953895,176,38,38,865
0.6,"cent vs mage",0.965780521824811,0.413560962891607,0.815161618881952,-0.0454747474080553,0.129819394737234,0.146571488829005,0.441920878005708,0.458313376459298,160,29,30,898
0.6,"eld vs kin",0.923288370773173,0.778824458839647,1.42530601354313,-0.254134075441573,0.0970103800311843,0.360947372937836,0.430919916951903,0.723090467498333,168,65,47,837
0.7,"cent vs mage",0.954131388163349,0.56743468752634,1.03951758235691,-0.123240163167015,0.11615619133349,0.213063560628744,0.455373258795976,0.524751465377055,149,52,46,870
0.7,"eld vs kin",0.885143732229338,0.908706113304972,1.74484756800634,-0.327366787563461,0.100179186234384,0.425526549627017,0.437498247832955,0.789757128262192,164,82,49,822
0.8,"cent vs mage",0.929802796295098,0.764352575855202,1.33131961898044,-0.184228236737933,0.126031032169397,0.286394752649276,0.442302423021542,0.574979525297122,136,74,61,846
0.8,"eld vs kin",0.903501667707078,0.972378808882334,1.64474199663271,-0.408474905633492,0.0966028417345306,0.501948423604464,0.44860441631843,0.858163972708921,156,92,58,811
0.9,"cent vs mage",0.926114694072552,0.877513461227619,1.51705663803385,-0.282124167847168,0.125387079454513,0.357578374104209,0.465284187722578,0.640005092976667,132,90,63,832
0.9,"eld vs kin",0.882230042057123,1.1836712339983,1.95457962561975,-0.53882725395132,0.101543928696103,0.637594148581515,0.435119982502697,0.963380690229374,145,113,63,796
1,"cent vs mage",0.909017945611538,1.01671764305843,1.68578059726096,-0.368917720213565,0.120730495897865,0.438140705692168,0.462239023765351,0.70490939979901,129,104,68,816
1,"eld vs kin",0.861889063241928,1.35462914286406,2.15896623488507,-0.658110339574636,0.100981402610436,0.749534652834364,0.426826653989506,1.05236099143136,140,139,75,763
