"taxon","estimate_gamma","std_error_gamma","pval_gamma","pval_adj_gamma","estimate_no_gamma","pval_adj_no_gamma","comparison"
"82",1.20115616643805,0.464251859539082,0.243831272054698,0.243831272054698,1.18190481487931,0.11469736332189,"pup vs you"
"83",0.385092789513068,0.445278597140672,0.69492059962009,0.69492059962009,0.425484207626226,0.753815626785802,"pup vs you"
"84",1.36419372793004,0.3947782475145,0.0674331499639154,0.0674331499639154,1.3964087128003,0.00851747068857672,"pup vs you"
"85",0.979371146744632,0.429893249330784,0.285027468339297,0.285027468339297,1.00591024230749,0.121092228475328,"pup vs you"
"86",1.13395056930272,0.475310661312839,0.256043429637293,0.256043429637293,1.17979954679076,0.114834957356529,"pup vs you"
"87",-1.32039910371665,0.520990565414107,0.202180517861877,0.202180517861877,-1.2393069261491,0.140572140052353,"pup vs you"
"88",1.79885431758294,0.489037000771992,0.0428653001078124,0.0428653001078124,1.85649335686408,0.00888069959291262,"pup vs you"
"89",-5.88442367510071,0.354571158455099,0,0,-5.83370474769567,0,"pup vs you"
"90",-3.07957155755,0.248803601084413,0,0,-3.03977233566821,0,"pup vs you"
"91",5.64887892819722,0.426578126326205,4.33304717843108e-24,4.33304717843108e-24,5.67052249438325,6.84043162157571e-26,"pup vs you"
"92",-0.869890734055309,0.211424931052026,0.0731446248614137,0.0731446248614137,-0.846916239933218,0.000684054710650577,"pup vs you"
"93",2.37423675150206,0.382295606670012,3.45519407830075e-05,3.45519407830075e-05,2.37601029839189,1.25798864432311e-06,"pup vs you"
"94",-2.47625195535145,0.338082760467092,3.41583762629684e-08,3.41583762629684e-08,-2.41375707212535,8.84625600430642e-10,"pup vs you"
"95",-3.12269704795778,0.35624789818365,5.43336477225195e-11,5.43336477225195e-11,-3.09685234164857,3.35171598527732e-14,"pup vs you"
"96",2.01740125711769,0.270555577109989,8.31763540037705e-07,8.31763540037705e-07,2.04722015766412,1.69309220073644e-11,"pup vs you"
"97",-0.429762248708517,0.32117589647131,0.612646666785395,0.612646666785395,-0.406969737421654,0.76685897722953,"pup vs you"
"98",-1.05460882798839,0.304578192327705,0.0792438590604412,0.0792438590604412,-1.00728290488787,0.012416552123605,"pup vs you"
"99",0.455072049155631,0.312874889014041,0.527040623783824,0.527040623783824,0.491207332463724,0.39561214629884,"pup vs you"
"100",4.09855327013859,0.478090718114575,2.47573498559338e-09,2.47573498559338e-09,4.10296204589508,5.72288528932503e-12,"pup vs you"
