"taxon","estimate_gamma","std_error_gamma","pval_gamma","pval_adj_gamma","estimate_no_gamma","pval_adj_no_gamma","comparison"
"20",-0.404758267819537,0.229297744356108,0.480266955833734,0.480266955833734,-0.420774199136395,0.356061365839327,"pup vs you"
"21",-4.13375125457661,0.254460507887967,0,0,-4.1459575958925,0,"pup vs you"
"22",-4.20235560388406,0.302760655269793,0,0,-4.21199859659025,0,"pup vs you"
"23",-3.62886852145414,0.2552907278201,0,0,-3.64179291727062,0,"pup vs you"
"24",3.33974600534719,0.471698199318764,3.60899599793641e-08,3.60899599793641e-08,3.31421851912109,6.79240283687692e-10,"pup vs you"
"25",-2.76922074212121,0.360504776030118,4.7600385599578e-08,4.7600385599578e-08,-2.7872386818388,3.74149881275731e-12,"pup vs you"
"26",-4.36608730199121,0.333074173068759,0,0,-4.3837892598574,0,"pup vs you"
"27",-2.6640720752742,0.316324377787793,6.09371333365509e-08,6.09371333365509e-08,-2.6882417073452,6.72015647420777e-13,"pup vs you"
"28",3.17432207550242,0.457384619714002,1.79815694973462e-07,1.79815694973462e-07,3.1655767163374,9.25505947126301e-10,"pup vs you"
"29",-4.68779659445547,0.237085295817239,0,0,-4.6996828254618,0,"pup vs you"
"30",-2.63127513113295,0.232098115015182,7.5288934708229e-14,7.5288934708229e-14,-2.64916256954909,0,"pup vs you"
"31",-4.46378761146941,0.464271555871691,2.07512726902583e-13,2.07512726902583e-13,-4.43062453260753,5.91970340646591e-17,"pup vs you"
"32",-3.7574271878273,0.251259484092467,0,0,-3.76428833300611,0,"pup vs you"
"33",3.44586236672726,0.46199311687492,5.72846392023577e-09,5.72846392023577e-09,3.42769431706061,1.52846231801115e-10,"pup vs you"
"34",1.52498633404787,0.34034045472668,0.00583487782795145,0.00583487782795145,1.50687138635581,0.000141262844989011,"pup vs you"
"35",1.44100520813032,0.284014872309282,0.00304097161219939,0.00304097161219939,1.42880322894023,1.0802209904021e-05,"pup vs you"
"36",-3.79829143676236,0.217050040112834,0,0,-3.8157663479051,0,"pup vs you"
"37",-2.13072086469101,0.296959764566192,2.64919212742297e-06,2.64919212742297e-06,-2.14829776859162,6.31085186700266e-11,"pup vs you"
"38",1.53203883765474,0.271254244726595,0.000910947289814528,0.000910947289814528,1.51533435111166,7.28545337807225e-07,"pup vs you"
"39",0.227238836069793,0.382787447275512,0.719034332207397,0.719034332207397,0.209417899036611,0.91903252636055,"pup vs you"
"40",1.31739206877132,0.360397945455758,0.0332698596956419,0.0332698596956419,1.299140158462,0.0035276988127955,"pup vs you"
"41",-1.99581979799458,0.498290900781226,0.0056413879634995,0.0056413879634995,-2.02285095802766,0.00260456393318864,"pup vs you"
"42",1.73155084801334,0.362475615979344,0.00209505555872627,0.00209505555872627,1.71410043648061,6.30124667967755e-05,"pup vs you"
"43",-1.45461625587883,0.383547737425118,0.0233249266561808,0.0233249266561808,-1.48126836011336,0.00147467673383565,"pup vs you"
"44",-0.0991638403553292,0.283950789717896,0.875165647160968,0.875165647160968,-0.114713042363194,1,"pup vs you"
"45",-2.1301251007919,0.469456177278582,0.00188998519854975,0.00188998519854975,-2.19940127735544,0.00023046985480258,"pup vs you"
"46",1.13910711462235,0.343345959324328,0.0550247892608,0.0550247892608,1.11897456668665,0.00826654902770084,"pup vs you"
"47",-2.05909133910267,0.451007500506313,0.00117381998596772,0.00117381998596772,-2.09706515684418,7.75890070644641e-05,"pup vs you"
"48",-0.258686894664101,0.432349365084771,0.838787408835851,0.838787408835851,-0.290317923957343,0.905026394789504,"pup vs you"
"49",-4.54710385316043,0.285032318835804,0,0,-4.57166113117703,0,"pup vs you"
"50",-3.30925324901878,0.2829005180525,5.23698952071917e-17,5.23698952071917e-17,-3.32665380327109,0,"pup vs you"
"51",1.01874643559701,0.3546792078189,0.122377076630779,0.122377076630779,1.01763952640963,0.026907769444341,"pup vs you"
"52",-1.75860438980382,0.29912338459171,0.000396257937623643,0.000396257937623643,-1.78445716702839,1.1051792316863e-07,"pup vs you"
"53",-2.35301751341385,0.397879660096477,7.01162638575757e-05,7.01162638575757e-05,-2.38004586988364,3.4509560719562e-07,"pup vs you"
"54",-0.599375265613071,0.415465100711434,0.626528525195788,0.626528525195788,-0.624220229168802,0.665565426909436,"pup vs you"
"55",-3.20983045637689,0.373491509509939,9.42210571304948e-10,9.42210571304948e-10,-3.20721991698887,4.50935800601045e-14,"pup vs you"
"56",3.19929431653677,0.311580266881674,7.00816772759514e-14,7.00816772759514e-14,3.1887785723058,4.78967248400508e-17,"pup vs you"
"57",1.2901342118547,0.470449508906059,0.104910017753398,0.104910017753398,1.2864291949004,0.0431559002328953,"pup vs you"
"58",-2.66462050623175,0.301366146362537,5.35387677469218e-10,5.35387677469218e-10,-2.67264597657097,9.09286398068917e-15,"pup vs you"
"59",1.97978817504874,0.293247342676863,1.20444777071069e-05,1.20444777071069e-05,1.96945891384257,5.07786167325613e-09,"pup vs you"
"60",-1.17667315461122,0.419861533592408,0.135761909135677,0.135761909135677,-1.17573562523862,0.0534276370920774,"pup vs you"
"61",-2.48393390351117,0.26894988317755,1.13935155593521e-09,1.13935155593521e-09,-2.49583691533566,2.6360894044044e-15,"pup vs you"
"62",0.865980894277778,0.252295454418513,0.0842163695834499,0.0842163695834499,0.848996375419393,0.0060129398603817,"pup vs you"
"63",-1.96603911268111,0.301006149590034,2.00211472073487e-05,2.00211472073487e-05,-1.98318067179565,1.08810778360464e-08,"pup vs you"
"64",-3.83787736637566,0.418418958424575,9.29882300406255e-10,9.29882300406255e-10,-3.89622437377294,1.64041385677602e-12,"pup vs you"
"65",2.64617977472643,0.329542927193176,1.46119592761484e-08,1.46119592761484e-08,2.64821246717206,9.5571537686981e-12,"pup vs you"
"66",-1.6219941565155,0.295690382077967,0.000700418239654752,0.000700418239654752,-1.6124224968503,1.05698672470698e-06,"pup vs you"
"67",6.76523641695686,0.502643081436386,4.74687711202779e-26,4.74687711202779e-26,6.72119810877037,5.46538335391978e-25,"pup vs you"
"68",-0.933526462753408,0.340160789660011,0.198280386325599,0.198280386325599,-0.926093237521597,0.0563761190461886,"pup vs you"
"69",0.48239415804618,0.349957135643301,0.475610803041466,0.475610803041466,0.441480324823151,0.462957431904457,"pup vs you"
"70",-1.61941718870894,0.436547145947669,0.0207852283101411,0.0207852283101411,-1.67053152582059,0.00463339417688833,"pup vs you"
"71",-2.29925575764542,0.4556441129273,0.00109925631300598,0.00109925631300598,-2.24807883285754,0.000285937482005678,"pup vs you"
"72",1.86288069594439,0.303776729163019,0.000147208640858702,0.000147208640858702,1.84106718010729,1.82549792964511e-07,"pup vs you"
"73",-0.511793895314922,0.450401464240412,0.750497384586366,0.750497384586366,-0.56069447471107,0.845514347398222,"pup vs you"
"74",-3.89935462065826,0.417633016902268,1.02557523689868e-10,1.02557523689868e-10,-3.89660693622324,3.46363448379231e-14,"pup vs you"
"75",1.37598268111415,0.363185632624502,0.0224982338295691,0.0224982338295691,1.36827388143324,0.00222631760086336,"pup vs you"
"76",3.21289480613894,0.554016101143759,2.58389414324689e-05,2.58389414324689e-05,3.18098352310674,6.68082996104726e-06,"pup vs you"
"77",-3.52880973752807,0.273386219506991,0,0,-3.54489054202968,0,"pup vs you"
"78",1.14003002851031,0.49277565985198,0.213592943271239,0.213592943271239,1.13928887395942,0.119952451919955,"pup vs you"
"79",2.15233717529664,0.433015906922262,0.000809485628938371,0.000809485628938371,2.14616154463801,6.22059877351145e-05,"pup vs you"
"80",-0.178244467202889,0.243622099817916,0.758755930763533,0.758755930763533,-0.187185074722887,0.992290477339417,"pup vs you"
"81",2.75223839361761,0.268780459679979,1.3350151391861e-11,1.3350151391861e-11,2.74439061871266,5.30589589213015e-18,"pup vs you"
"82",1.42807762990443,0.483832839501299,0.0950971032712078,0.0950971032712078,1.35490292102043,0.0641797833913534,"pup vs you"
"83",0.668659464227181,0.466516710289852,0.442587813734166,0.442587813734166,0.628685279366025,0.428915690859395,"pup vs you"
"84",1.6273114989446,0.415823501466433,0.0210306713430875,0.0210306713430875,1.60724119283815,0.00284131389939225,"pup vs you"
"85",1.23668685741153,0.446206925164034,0.0985869920447333,0.0985869920447333,1.19527646698205,0.0428116193020297,"pup vs you"
"86",1.37574691267598,0.484162195863408,0.108783202422116,0.108783202422116,1.42778263897332,0.0408080457877478,"pup vs you"
"87",-1.06817612543862,0.534762202564597,0.391639549998552,0.391639549998552,-1.06114648048175,0.326121428059221,"pup vs you"
"88",2.0518683172107,0.488681240833709,0.0108258821864264,0.0108258821864264,2.06644340279104,0.00245368669578312,"pup vs you"
"89",-5.62577962240296,0.354451042668281,0,0,-5.66222260382902,0,"pup vs you"
"90",-2.81927340326868,0.247016484867148,7.76611120370381e-15,7.76611120370381e-15,-2.8126632438784,0,"pup vs you"
"91",5.92884598490514,0.444492056338706,1.17447900053357e-24,1.17447900053357e-24,5.87432409088338,9.29911072767773e-26,"pup vs you"
"92",-0.629671019857878,0.206734078016017,0.224637032728583,0.224637032728583,-0.640277927740485,0.0154152788555554,"pup vs you"
"93",2.62267721656442,0.381704296940187,1.36038632697885e-06,1.36038632697885e-06,2.62384511885551,2.79818809326459e-08,"pup vs you"
"94",-2.22189267007197,0.350999153372433,3.52601856470834e-05,3.52601856470834e-05,-2.23102309140492,3.0123650292214e-08,"pup vs you"
"95",-2.87106727405441,0.36584675402896,2.04259994527443e-08,2.04259994527443e-08,-2.87835887231838,2.83397657655509e-12,"pup vs you"
"96",2.26770744446165,0.27221805789821,9.50785575382582e-08,9.50785575382582e-08,2.24952935801503,1.94915316706793e-13,"pup vs you"
"97",-0.175211218786667,0.327634576281343,0.856005337220213,0.856005337220213,-0.219174107057216,0.989106582220354,"pup vs you"
"98",-0.821153779914448,0.313488484906627,0.241418422405146,0.241418422405146,-0.841241559987608,0.0670557686082735,"pup vs you"
"99",0.705169933166001,0.320797344554014,0.251888190378509,0.251888190378509,0.704236203142839,0.115146311371589,"pup vs you"
"100",4.33836184379615,0.492135328251714,1.42247935117673e-10,1.42247935117673e-10,4.3187668837524,1.5187409705789e-11,"pup vs you"
"101",-3.29879784351405,0.474714019484115,1.93715330567369e-07,1.93715330567369e-07,-3.33197296684831,3.2036861371056e-08,"pup vs you"
"102",1.64713587665683,0.466716160308834,0.0456186680041653,0.0456186680041653,1.65869689581054,0.00547080769080633,"pup vs you"
"103",-3.5653998617107,0.410812295386616,1.80520893760355e-11,1.80520893760355e-11,-3.58749577804087,7.76267132748342e-13,"pup vs you"
"104",0.358836668974859,0.20422772557831,0.403060251736225,0.403060251736225,0.343102877955964,0.243706453832775,"pup vs you"
"105",2.37920667639641,0.311872454045917,4.34278681517897e-07,4.34278681517897e-07,2.33676396648566,6.08211067193456e-10,"pup vs you"
"106",-1.15985175849861,0.310223314393542,0.0398537722371567,0.0398537722371567,-1.18061449496185,0.00201051957890104,"pup vs you"
"107",-0.0114891866416296,0.433973953158039,0.887179907874269,0.887179907874269,0.0306358836641841,0.914740518115341,"pup vs you"
"108",5.14451940275266,0.483036031135976,2.44407814435474e-14,2.44407814435474e-14,5.10657879218855,2.3367232586092e-17,"pup vs you"
"109",0.971460466936651,0.355864345507736,0.127972246761781,0.127972246761781,0.956019217673287,0.038845645403692,"pup vs you"
"110",0.422042159567214,0.45906046380799,0.631965286316898,0.631965286316898,0.419205388107479,0.677111197628829,"pup vs you"
"111",2.41354758876362,0.339442622244507,9.14821378895217e-07,9.14821378895217e-07,2.41469776427817,8.29450427374829e-10,"pup vs you"
"112",0.206373890969261,0.492066877301609,0.776189612851574,0.776189612851574,0.185193845805706,0.8914881100143,"pup vs you"
"113",-2.15062666804048,0.413780871621592,0.000590015960588389,0.000590015960588389,-2.16042047198042,1.75021815486424e-05,"pup vs you"
"114",-1.40225215604785,0.474424171567831,0.111742938854086,0.111742938854086,-1.38704253622156,0.0554801339502881,"pup vs you"
