"taxon","estimate","std_error","pval_adj"
"143",-0.00482141526138156,0.00372417130010437,0.484751838977609
"144",-0.036812839974152,0.00371303592806705,0.500000012630668
"145",0.0268457344111164,0.00337699669829375,0.455846250161084
"146",-0.017984522771212,0.00247376675561334,0.500000001038888
"147",0.00929059201851466,0.00370957710791279,0.48437500005586
"148",0.00941960143786698,0.00300372186722118,0.48437500000001
"149",0.0144346386631033,0.00383876310036525,0.476545917535622
"150",0.0122650924002306,0.0035973639191387,0.483825596984114
"151",-0.0254070143142394,0.00390962614203785,0.502980115622977
"152",-0.0149966085633068,0.0031876674675532,0.49374172126233
"153",-0.051312365142959,0.0036623777398338,0.458673375659171
"154",0.0132272096455683,0.00391378869241134,0.484375000007019
"156",-0.00766638534965767,0.0037943595213768,0.484767305712597
"157",-0.0150337320669954,0.0035651798472052,0.500000092420037
"158",-0.0232860779489255,0.00326407989388383,0.49704266970399
"160",-0.00123772884868668,0.00288885191737918,0.484375009143468
"161",0.0100748905219445,0.00376736058869355,0.484375000020986
"163",0.00125206443448525,0.0032908273173516,0.484375553057235
"164",0.00138978737072915,0.00358384032776941,0.484378383784867
"165",-0.0143949041730497,0.00298921623263174,0.49658741116512
"166",-0.00676620583828451,0.00328455829409148,0.48477250747606
"167",0.0100807962816403,0.00389266510374096,0.484375000055694
"168",0.00933587273426795,0.00388837513267098,0.484375000000415
"169",-0.0331576731439859,0.00330443024635429,0.500002313324521
"170",-0.0150370338304822,0.00370404631842233,0.499403495683886
"171",-0.00405465095908544,0.00376481810531293,0.484413502700219
"172",-0.00214504690113077,0.00355280975605507,0.484435854346114
"173",-0.024125131647902,0.00324859562141825,0.50052585890369
"174",0.0170857964066879,0.00314094996660262,0.469055457376081
"175",-0.00226260448679174,0.00381101549294176,0.484379345240616
"176",-0.0133773771956395,0.00326444601522615,0.492550040210796
"177",-0.00257306255770309,0.00307992632845153,0.48439700800236
"178",0.0181850196382433,0.00363238254084955,0.467467217020178
"179",-0.0125463759318003,0.00326430055479744,0.491023719800512
"181",0.0110962474223589,0.00328748707106552,0.481924026721282
"182",-0.00459473067587362,0.00343328523383636,0.484566939971657
"183",-0.00386321428678091,0.00340038248331434,0.48487881864063
"184",-0.00694682241359254,0.00358117313528954,0.484449136507197
"185",-0.00700369544750367,0.00377545403129456,0.485788927840522
"186",-0.023708290046203,0.00258013190946929,0.500004680148208
"187",-0.00411065063444905,0.00324351694090284,0.484477438026315
"188",-0.00165596509337839,0.00327855757147704,0.484565079488704
"190",-0.00323096182445122,0.00340872387497007,0.484486563262649
"191",-0.0276121258798227,0.00371511706019191,0.501358076880378
"192",0.00421827391350862,0.00374824496984117,0.484375000483294
"193",0.00711684700928662,0.00400106758878506,0.484375006238321
"194",-0.0300762760415162,0.00358686119604549,0.500225188517308
"195",-0.0181059157683039,0.00357649934465524,0.500003671054939
"196",0.00112145217876711,0.00358004191605522,0.484375639090777
"197",-0.00415464585665261,0.00359142371932474,0.484376149469244
"198",0.0105188265459717,0.00358688980526803,0.484375000013418
"199",-0.00325065707986669,0.00325459180925215,0.48440739004223
"201",-0.0115779518995637,0.00306458512773097,0.494385510539886
"204",-0.00167425970249543,0.00353310883129965,0.484379280156115
"205",-0.0077248409727413,0.00359469786088819,0.486616135816286
"206",0.00771063084754402,0.00379136194467275,0.484375109630759
"207",-0.0124908222083316,0.0032411632573341,0.492516615968807
"208",-0.00754842007651621,0.00337604029341559,0.485018560506239
"209",0.0126550875462779,0.00367181081407952,0.473505278960372
"210",0.00825404481667493,0.00342856713612497,0.484375000000223
"211",-0.0319221245307308,0.00366984995814848,0.500113806522644
"212",-0.0196457154635435,0.00364100868968879,0.500079384021241
"213",-0.0107669226212473,0.00328249042976176,0.491888982830961
"214",-0.00959611840286203,0.00307647325715906,0.489025532875438
"215",0.0114531671406269,0.00343444985012212,0.48437500000119
"216",-0.0186931119325918,0.00361165866367353,0.500002590765213
"217",-0.0224996599855128,0.00309950389204586,0.500005337045692
"218",-0.0193819082726386,0.00316176557995664,0.500002083401152
"219",0.0122796209628012,0.00343189458179814,0.484375
"220",0.0353773838123659,0.00367135690071541,0.445770835989527
"221",-0.0110471728587813,0.0032315746438581,0.489295267090913
"222",-0.0359690244180987,0.00294834728724053,0.500000000055336
"223",-0.00267399876296914,0.00366913315594432,0.484707164553232
"224",-0.00895807734743135,0.00346522151639936,0.485432972892627
"225",0.00436669233786147,0.00373387927016386,0.484375036261148
"227",-0.00987953661626217,0.00347521247570157,0.486372746847875
"228",-0.0198679203290777,0.00330665080110062,0.500006035706013
"229",-0.00811015080389192,0.00326738091773322,0.485751938284966
"230",0.0288424170347164,0.00365085076452623,0.454131627102043
"231",-0.00819461316858283,0.00342027907299795,0.485388734611669
"232",-0.00601792502738372,0.00347600539912109,0.485703096708785
"233",-0.0383640424451743,0.00341569728047793,0.500000000481558
"234",-0.0264126323857565,0.00351949508028162,0.500531707529738
"235",0.00128225735588494,0.00340018012500468,0.484411753656173
"236",-0.0111613378989503,0.00303176225398367,0.492689002005428
"238",-0.0185314561622156,0.00367591938837999,0.500002006323577
"240",0.00349603448347008,0.00352283388714553,0.484375532823735
"241",-0.00508269940664826,0.00360717320718322,0.484380982592811
"242",-0.0170322084044416,0.00364677290752956,0.498268579960203
"244",-0.00408238748127137,0.00375944738187427,0.484717979493318
"245",-0.0194353128928215,0.00318569574365945,0.500130320568285
