"constant","comparison","robustness","n_all3","n_coeff_only","n_clr_only","n_tss_only","n_none","n_sig_coeff","n_sig_clr","n_sig_tss","median_log_coeff","median_log_clr","median_log_tss","median_es_coeff","median_es_clr","median_es_tss","cor_coeff_clr","cor_coeff_tss","cor_clr_tss","mae_coeff_clr","mae_coeff_tss","mae_clr_tss"
-0.8,"cent vs mid",0.194614443084455,159,566,92,0,300,725,251,273,1.74290687575322,0.242606800894723,0.375193099452851,1.26078976349069,0.533462712621501,0.640551051230232,0.607142196519023,0.710910860646172,0.959899479548847,2.54226547174517,2.1326992256814,0.455445871668804
-0.8,"cent vs pup",0.225393700787402,229,687,100,0,101,916,334,463,3.02064612069134,0.299171523866554,0.990320777522762,1.54751832427297,0.584279360175726,0.872290952462723,0.48016412982471,0.698344598453759,0.837766702691885,5.75888534891834,3.92678766222818,1.92675074414713
-0.8,"cent vs you",0.273361227336123,196,437,84,0,400,633,281,322,1.48097435324262,0.227488184886489,0.276717675942723,1.11603241167151,0.502583669187582,0.537501796343132,0.680377365091087,0.855827156691024,0.916849354684918,2.96663108800856,2.2075671494076,0.868889009017819
-0.8,"eld vs kin",0.43360433604336,160,156,53,0,748,316,214,217,0.610334619661596,0.0916616363161513,0.093847366652797,0.898657178996294,0.425500639627305,0.453625872651316,0.813049071680429,0.838444867298793,0.994987893230093,1.25977554558858,1.17204319001009,0.1424099431509
-0.8,"eld vs mage",0.136645962732919,44,231,47,0,795,275,91,91,0.849125294138809,0.0418523758294515,0.10819691698058,1.12075597225304,0.336857905646038,0.452982628937534,0.450870690073174,0.593939790655791,0.979930368691288,1.20353728268465,1.01880761071072,0.198568457444409
-0.8,"eld vs mid",0.217977528089888,97,271,76,1,672,368,176,172,1.04091168890848,0.142898860269873,0.184110159941389,1.20515933891903,0.51276717202208,0.56142762344263,0.768134332885186,0.804059093132482,0.994891299968031,1.39647293301603,1.27123202174431,0.15608741958171
-0.8,"eld vs pup",0.217703349282297,182,570,84,0,281,752,267,339,1.63516749060545,0.152743210594044,0.530287211086481,1.4500069115437,0.51265364445856,0.799744830382372,0.676270336333376,0.837376413969271,0.916811981145386,2.95859296110096,1.97774339321584,1.01130300841892
-0.8,"eld vs you",0.120879120879121,44,298,22,0,753,342,66,110,0.839190837630017,0.0556975880496545,0.0723426272515456,0.967762515949266,0.357051788804226,0.316309694961106,0.635657676365044,0.895907129779836,0.891881101212627,1.27316425169597,1.07537258474987,0.241363978621554
-0.8,"kin vs mage",0.168918918918919,50,189,57,0,821,239,107,102,0.851155407338841,0.0546447938071353,0.0932624443346396,1.09290224424041,0.333387557604454,0.421418619154968,0.499900785941839,0.697545900745846,0.961421158099931,1.16725475111056,1.04423004490507,0.138771899147221
-0.8,"kin vs mid",0.150110375275938,68,305,79,1,664,373,148,144,1.08832733610729,0.158703440261204,0.157038134465177,1.16952092291991,0.497235673809959,0.501952883062031,0.440463854533951,0.472237018983655,0.994921101549113,1.33052254909688,1.30206637310997,0.074733999537698
-0.8,"kin vs pup",0.0167664670658683,14,763,58,0,282,777,78,80,1.68147089629798,0.045142597285359,0.3566127484602,1.37161530495494,0.267036346192019,0.60681311747677,0.184291342021085,0.72900539487172,0.735449964614087,1.91992291469233,1.47142703958455,0.51898224686998
-0.8,"kin vs you",0.427927927927928,190,188,66,0,673,378,256,262,0.832897357998073,0.116325730098429,0.110050592304791,0.951919682650175,0.401124076306899,0.39613882229794,0.857171179517633,0.913036005453075,0.98271374304075,1.73965064585339,1.42692934684724,0.362579386332628
-0.8,"mage vs mid",0.107317073170732,22,117,57,9,912,139,85,88,0.587357349616943,0.0633438601490967,0.0390666734518136,0.879176239474615,0.365765802853338,0.309686614782701,0.433210875473801,0.2909737335033,0.980872890194595,0.771648030873567,0.855314654279401,0.103884201902335
-0.8,"mage vs pup",0.150406504065041,74,344,74,0,625,418,149,143,1.08545020270191,0.0585512295924902,0.165370524442865,1.13022571250368,0.327384398685073,0.435437151718496,0.582007034852291,0.783566095798064,0.904876648071751,1.69209486523997,1.36314631203734,0.372903489316534
-0.8,"mage vs you",0.436046511627907,150,132,61,1,773,282,212,211,0.453681271094679,0.128535155911245,0.0890254157753677,0.72633978235749,0.466943003139355,0.400196584252469,0.870896483132454,0.899954799507545,0.994343337417923,1.07908848803328,1.0140974228589,0.142692926410305
-0.8,"mid vs pup",0.202380952380952,119,396,73,0,529,515,193,234,1.22564444558267,0.100606292859829,0.164604577224238,1.0658460972929,0.371547281401086,0.384888421030839,0.438610569573394,0.76607147769164,0.877255094909443,2.39464055889253,1.87020738223168,0.591387532076107
-0.8,"mid vs you",0.485915492957746,207,164,55,0,691,371,262,269,0.535449039047164,0.339387554125202,0.164987307411393,0.723835266978489,0.647418826201559,0.498658698213134,0.873683867512253,0.926698689796477,0.988108869486129,1.42663888554538,1.18884950657686,0.361117171489018
-0.8,"pup vs you",0.591981132075472,251,83,55,35,693,334,324,341,0.256077093312802,0.265867154859529,0.45865567736119,0.525574393222051,0.539435192833063,0.663125307815315,0.937217435084544,0.901781921958227,0.978276094424188,1.26843258673906,1.72656258245296,0.529897351301853
-0.7,"cent vs eld",0.229607250755287,76,199,54,2,786,275,132,125,0.657582697446304,0.0615104020828977,0.0656507920240116,0.830094386179242,0.347346174750235,0.339594624704089,0.6447153452396,0.722750148988637,0.985367071768092,1.08025992735541,1.00504953274744,0.109519994168955
-0.7,"cent vs kin",0.388349514563107,200,245,70,0,602,445,270,275,0.91335611793906,0.162792272712978,0.200244066573153,0.918500077590396,0.471136859591809,0.506962580901211,0.67329752676631,0.747076676826588,0.956710820728245,2.02541685202109,1.70428094182147,0.370873616583385
-0.7,"cent vs mage",0.229422066549912,131,367,73,0,546,498,204,232,1.1733949750657,0.125291253179164,0.25858074364686,1.12600260436799,0.46384481326096,0.583264319089231,0.495454827038039,0.721937376531117,0.951520588142784,1.86890851684601,1.41262421576233,0.487299162971917
-0.7,"cent vs mid",0.217333333333333,163,501,86,0,367,664,249,270,1.50853549820216,0.231131111330229,0.361350048156161,1.16550854621299,0.529294819308709,0.621253293487647,0.670099659507381,0.727514377159782,0.991706937245388,2.23646182891248,1.85862076525559,0.410806166599018
-0.7,"cent vs pup",0.238289205702648,234,652,96,0,135,886,333,470,2.69099680673553,0.297188934821442,0.967257270307836,1.4511212893743,0.553121080138575,0.872212244085112,0.500531980474003,0.704447682346459,0.845029633620554,5.26680619787629,3.47953798092735,1.86452565507577
-0.7,"cent vs you",0.309375,198,358,84,0,477,556,282,324,1.30046954405047,0.22951528641318,0.28058246807798,1.02160800688199,0.50220039717006,0.536044777176345,0.718934752013486,0.881347341579747,0.916938272394824,2.61383375931224,1.85945962414899,0.855052339625401
-0.7,"eld vs kin",0.488372093023256,168,126,50,0,773,294,222,217,0.502061643556354,0.0941257309456446,0.0882388230896875,0.811625119527103,0.439122685935709,0.440131758784433,0.849115595719976,0.867105800941842,0.995348080741993,1.08955993577648,1.01506955925486,0.140971182492093
-0.7,"eld vs mage",0.156794425087108,45,190,52,0,830,235,97,93,0.718682132341752,0.0401354457283717,0.106876478087341,1.01736740969373,0.343231763878688,0.442052430345709,0.541127919629204,0.681123751385508,0.979951211224126,1.06792838907195,0.872382410196296,0.205993457933211
-0.7,"eld vs mid",0.302452316076294,111,193,63,0,750,304,175,168,0.898698857608701,0.136649680255204,0.186881456764577,1.11620025846657,0.509191511089615,0.571137145346691,0.830340639256661,0.8607724557222,0.995682337295103,1.21307469545892,1.07883061562977,0.15691171755547
-0.7,"eld vs pup",0.259052924791086,186,452,80,0,399,638,266,339,1.44661608191931,0.151616067671756,0.52578330473465,1.36929707251302,0.511258925320621,0.801914277547151,0.686520722205748,0.871687368517586,0.893466923556814,2.68027682485692,1.64540079926003,1.06930478414346
-0.7,"eld vs you",0.144200626959248,46,252,21,0,798,298,67,107,0.686993782440158,0.0571220352840516,0.0717203496071019,0.864317088357085,0.36036390434657,0.324180647531156,0.636476343917182,0.894049652061945,0.891681478239705,1.1080681428903,0.913791624504485,0.236208215907783
-0.7,"kin vs mage",0.208835341365462,52,141,55,1,868,193,107,105,0.706147298834623,0.0548335114406887,0.0945283036066229,0.985795534829656,0.339254049075177,0.413833668694715,0.5357805172793,0.730662462230131,0.959747692923306,1.00472654055807,0.878710824580981,0.140313594194145
-0.7,"kin vs mid",0.225308641975309,73,185,65,1,793,258,138,144,0.945658884254151,0.157823911727494,0.156563617333341,1.08031711888488,0.502559248186271,0.496230696058556,0.543147099676711,0.56625049560164,0.994626910570939,1.1429562914729,1.11755285227875,0.0742269457252003
-0.7,"kin vs pup",0.0202429149797571,15,668,58,0,376,683,74,82,1.46349154532306,0.0459812591684742,0.362374319871111,1.27862722281137,0.273351822957094,0.611862502971671,0.257610420541327,0.77809825483017,0.748032397555406,1.71262369213375,1.2515182995182,0.516255233960174
-0.7,"kin vs you",0.474452554744526,195,151,65,0,706,346,260,266,0.69346997815884,0.115510975484553,0.104217148046086,0.86791400803984,0.406711475468976,0.379232780062046,0.880298759050693,0.927160470589333,0.985671707607232,1.5369421590893,1.23946220465682,0.346014955334658
-0.7,"mage vs mid",0.15819209039548,28,87,51,11,940,115,84,90,0.464315594710068,0.0672677904509509,0.0399558232283587,0.784629352191625,0.36567189155967,0.319412011237075,0.532583452182033,0.392468451065434,0.981318975178135,0.641586076297551,0.726715668892246,0.101218117607623
-0.7,"mage vs pup",0.186893203883495,77,264,71,0,705,341,148,141,0.920988731374398,0.0604361042948604,0.165363806326053,1.02511584856249,0.334226258118792,0.437938092690477,0.602782449484329,0.841562934031348,0.851895494597841,1.50804315943547,1.13277935979091,0.410850018332357
-0.7,"mage vs you",0.467289719626168,150,113,57,1,796,263,207,213,0.361441403781997,0.12229090038737,0.087909339009258,0.637004615539302,0.458957095843035,0.405963075568155,0.888480059163221,0.912386175290381,0.992779805613283,0.948257920874996,0.878793401042899,0.1501593865731
-0.7,"mid vs pup",0.233201581027668,118,319,69,0,611,437,188,233,1.01192994390772,0.102249887949244,0.161308035403343,0.96580023014574,0.374199505955681,0.384676669183626,0.465461547162138,0.789991376330014,0.876961339069995,2.11817556570765,1.583677781216,0.595257779124471
-0.7,"mid vs you",0.524630541871921,213,141,52,0,711,354,265,263,0.421303069741992,0.351527142668948,0.155111884555518,0.636479151318448,0.657979609120725,0.484094416282688,0.892414228098255,0.938796587355316,0.989014540885463,1.2849750321838,1.020126887056,0.356795382934692
-0.7,"pup vs you",0.626535626535627,255,69,52,31,710,324,327,338,0.190170741884134,0.26942081934538,0.450572921055989,0.481919780424648,0.542606625876211,0.670499507877814,0.948834225402866,0.91072328839611,0.974996103375584,1.09021584646572,1.58507601042886,0.543618143437515
-0.6,"cent vs eld",0.290102389078498,85,161,47,0,824,246,133,121,0.514898512051548,0.0587331291436569,0.0664740224435645,0.740262261418077,0.339877834340036,0.340442514786766,0.687966979153616,0.769641855442643,0.984232434755916,0.908586944563868,0.825089897854763,0.10960122141505
-0.6,"cent vs kin",0.436708860759494,207,203,64,0,643,410,271,276,0.741290942861922,0.163554000745555,0.19857293239536,0.85144815282171,0.469623051796254,0.501770825921601,0.782770091383695,0.824432717262591,0.991463820172128,1.61774099891215,1.35164097126134,0.326471325509701
-0.6,"cent vs mage",0.268839103869654,132,288,71,0,626,420,203,231,1.00293650174297,0.121062624284999,0.260312034152067,1.02612727886022,0.464057732012253,0.585479435478104,0.569061532489635,0.779338761556765,0.951117259507517,1.64531772998423,1.17993098910861,0.489152666401713
-0.6,"cent vs mid",0.258914728682171,167,397,81,0,472,564,248,270,1.31168459373935,0.231278739759428,0.360665287801948,1.0916481432999,0.5290245731085,0.620331818143467,0.669928958569618,0.757745498376227,0.960390769207253,2.00822310899708,1.60437463808283,0.442169189828603
-0.6,"cent vs pup",0.253934942287513,242,617,94,0,164,859,337,471,2.38625413111199,0.305288817687132,0.989596378084792,1.36837320002632,0.550775288422878,0.874890588422283,0.572714278505915,0.754377856005915,0.871327571853204,4.59592761914303,2.83415212882237,1.82087266315693
